Chapter,Chapter_Name,Section,Section_Name,Items,Actual_Cost
1,Gastro-Intestinal System,1,Dyspep&Gastro-Oesophageal Reflux Disease,9748,56124
1,Gastro-Intestinal System,2,Antispasmod.&Other Drgs Alt.Gut Motility,11399,128847
1,Gastro-Intestinal System,3,Antisecretory Drugs+Mucosal Protectants,173054,318377
1,Gastro-Intestinal System,4,Acute Diarrhoea,6117,36153
1,Gastro-Intestinal System,5,Chronic Bowel Disorders,6480,231160
1,Gastro-Intestinal System,6,Laxatives,55872,256166
1,Gastro-Intestinal System,7,Local Prepn for Anal & Rectal Disorders,3939,26126
1,Gastro-Intestinal System,8,Stoma Care,6,25
1,Gastro-Intestinal System,9,Drugs Affecting Intestinal Secretions,1854,81026
2,Cardiovascular System,1,Positive Inotropic Drugs,13961,44430
2,Cardiovascular System,2,Diuretics,113656,194639
2,Cardiovascular System,3,Anti-Arrhythmic Drugs,3386,13684
2,Cardiovascular System,4,Beta-Adrenoceptor Blocking Drugs,109881,195987
2,Cardiovascular System,5,Hypertension and Heart Failure,218698,432529
2,Cardiovascular System,6,"Nit,Calc Block & Other Antianginal Drugs",132176,479661
2,Cardiovascular System,7,Sympathomimetics,377,34768
2,Cardiovascular System,8,Anticoagulants And Protamine,59178,997748
2,Cardiovascular System,9,Antiplatelet Drugs,115868,182934
2,Cardiovascular System,11,Antifibrinolytic Drugs & Haemostatics,985,9393
2,Cardiovascular System,12,Lipid-Regulating Drugs,200597,649677
3,Respiratory System,1,Bronchodilators,74839,754701
3,Respiratory System,2,Corticosteroids (Respiratory),57791,1822012
3,Respiratory System,3,"Cromoglycate,Rel,Leukotriene Antagonists",9927,30762
3,Respiratory System,4,"Antihist, Hyposensit & Allergic Emergen",36333,132717
3,Respiratory System,7,Mucolytics,5641,104854
3,Respiratory System,8,Aromatic Inhalations,10,11
3,Respiratory System,9,Cough Preparations,734,1311
3,Respiratory System,10,Systemic Nasal Decongestants,97,272
4,Central Nervous System,1,Hypnotics And Anxiolytics,60128,242680
4,Central Nervous System,2,Drugs Used In Psychoses & Rel.Disorders,31721,306839
4,Central Nervous System,3,Antidepressant Drugs,192452,771994
4,Central Nervous System,4,CNS Stimulants and drugs used for ADHD,2292,89725
4,Central Nervous System,5,Drugs used in the Treatment of Obesity,1307,34730
4,Central Nervous System,6,Drugs Used In Nausea And Vertigo,17771,101903
4,Central Nervous System,7,Analgesics,182461,1364376
4,Central Nervous System,8,Antiepileptics,70498,1386625
4,Central Nervous System,9,Drugs Used In Park'ism/Related Disorders,15924,290338
4,Central Nervous System,10,Drugs Used In Substance Dependence,12449,182707
4,Central Nervous System,11,Drugs for Dementia,17584,90548
5,Infections,1,Antibacterial Drugs,82658,485311
5,Infections,2,Antifungal Drugs,5486,45090
5,Infections,3,Antiviral Drugs,2768,26183
5,Infections,4,Antiprotozoal Drugs,12093,28606
5,Infections,5,Anthelmintics,470,898
6,Endocrine System,1,Drugs Used In Diabetes,130996,2289911
6,Endocrine System,2,Thyroid And Antithyroid Drugs,102244,454878
6,Endocrine System,3,Corticosteroids (Endocrine),28211,302863
6,Endocrine System,4,Sex Hormones,22901,186414
6,Endocrine System,5,Hypothalamic&Pituitary Hormones&Antioest,1384,258866
6,Endocrine System,6,Drugs Affecting Bone Metabolism,29354,205139
6,Endocrine System,7,Other Endocrine Drugs,302,17381
7,"Obstetrics,Gynae+Urinary Tract Disorders",2,Treatment Of Vaginal & Vulval Conditions,8722,103817
7,"Obstetrics,Gynae+Urinary Tract Disorders",3,Contraceptives,29570,267716
7,"Obstetrics,Gynae+Urinary Tract Disorders",4,Drugs For Genito-Urinary Disorders,52959,617222
8,Malignant Disease & Immunosuppression,1,Cytotoxic Drugs,692,27621
8,Malignant Disease & Immunosuppression,2,Drugs Affecting The Immune Response,4095,108623
8,Malignant Disease & Immunosuppression,3,Sex Hormones & Antag In Malig Disease,10265,505947
9,Nutrition And Blood,1,Anaemias + Other Blood Disorders,51811,94336
9,Nutrition And Blood,2,Fluids And Electrolytes,2966,20805
9,Nutrition And Blood,4,Oral Nutrition,20147,614220
9,Nutrition And Blood,5,Minerals,2765,58837
9,Nutrition And Blood,6,Vitamins,73038,252802
9,Nutrition And Blood,8,Metabolic Disorders,23,11093
9,Nutrition And Blood,9,Foods,410,19354
9,Nutrition And Blood,10,Compound Vit/Mineral Formulations,335,2880
9,Nutrition And Blood,11,Health Supplements,334,11178
9,Nutrition And Blood,12,Other Health Supplements,67,571
10,Musculoskeletal & Joint Diseases,1,Drugs Used In Rheumatic Diseases & Gout,68926,321232
10,Musculoskeletal & Joint Diseases,2,Drugs Used In Neuromuscular Disorders,3573,30730
10,Musculoskeletal & Joint Diseases,3,Soft-Tissue Disorders & Topical Pain Rel,16826,96919
11,Eye,3,Anti-Infective Eye Preparations,4514,23771
11,Eye,4,Corti'roids & Other Anti-Inflamm.Preps.,6690,31769
11,Eye,5,Mydriatics And Cycloplegics,88,1413
11,Eye,6,Treatment Of Glaucoma,28787,287279
11,Eye,7,Local Anaesthetics,1,5
11,Eye,8,Miscellaneous Ophthalmic Preparations,16340,63995
12,"Ear, Nose And Oropharynx",1,Drugs Acting On The Ear,5417,24789
12,"Ear, Nose And Oropharynx",2,Drugs Acting On The Nose,22451,152282
12,"Ear, Nose And Oropharynx",3,Drugs Acting On The Oropharynx,3145,18505
13,Skin,1,Vehicles and Emulsifying Agents,205,715
13,Skin,2,Emollient & Barrier Preparations,31580,190240
13,Skin,3,Top Local Anaesthetics & Antipruritics,704,4087
13,Skin,4,Topical Corticosteroids,31963,142466
13,Skin,5,Preparations For Eczema And Psoriasis,3425,122637
13,Skin,6,Acne and Rosacea,4140,47642
13,Skin,7,Preparations For Warts And Calluses,669,8580
13,Skin,8,Sunscreens And Camouflagers,1314,39364
13,Skin,9,Shampoo&Other Preps For Scalp&Hair Cond,3106,16189
13,Skin,10,Anti-Infective Skin Preparations,9749,38613
13,Skin,11,"Skin Cleansers,Antiseptics & Desloughing",617,8000
13,Skin,12,Antiperspirants,206,1269
13,Skin,13,Wound Management Products,183,5443
13,Skin,14,Topical Circulatory Preparations,269,1125
13,Skin,15,Miscellaneous Topical Preparations,5,328
14,Immunological Products & Vaccines,4,Vaccines And Antisera,21532,215407
14,Immunological Products & Vaccines,5,Immunoglobulins,5,2928
15,Anaesthesia,1,General Anaesthesia,1081,62698
15,Anaesthesia,2,Local Anaesthesia,4510,39903
19,Other Drugs And Preparations,2,Selective Preparations,2428,62241
19,Other Drugs And Preparations,4,Single Substances,14,3776
19,Other Drugs And Preparations,5,Other Preparations,55,580
19,Other Drugs And Preparations,6,Acids,13,33
19,Other Drugs And Preparations,7,Base/Dil/Susp Agents/Stabilisers,1414,31828
19,Other Drugs And Preparations,13,Cordials/Soft Drinks,6,246
19,Other Drugs And Preparations,14,Waters,11,32
20,Dressings,1,Absorbent Cottons,3,12
20,Dressings,2,Arm Sling/Bandages,3847,76136
20,Dressings,3,Wound Management & other Dressings,21097,409698
20,Dressings,4,Gauzes & Gauze Tissue,525,9790
20,Dressings,5,Tracheostomy & Laryngectomy Appliances,364,29580
20,Dressings,7,Lints,1,11
20,Dressings,9,Stockinette,2407,19610
20,Dressings,10,Surgical Adhesive Tape,1870,3680
20,Dressings,11,Surgical Sutures,490,799
20,Dressings,12,Swabs,935,2053
20,Dressings,14,"Skin Closure Strips, Sterile",250,407
20,Dressings,15,"Skin Adhesive,Sterile",4,32
20,Dressings,20,Silk Garments,23,1748
21,Appliances,1,Other Appliances,28271,166015
21,Appliances,2,Catheters,3444,356562
21,Appliances,3,Chiropody Appliances,5,12
21,Appliances,4,Contraceptive Devices,138,1462
21,Appliances,6,Trusses,11,266
21,Appliances,7,Elastic Hosiery,2733,41594
21,Appliances,12,Peak Flow Meters,739,4149
21,Appliances,13,Catheter Maintenance Solutions,440,12123
21,Appliances,14,Lubricant Gels,556,2738
21,Appliances,16,Irrigation Solutions,1586,8726
